"the_geom","fid","area","perimeter","district_","district_i","ad_char","ad_code","name","fullspell","x_coord","y_coord","diameter","area_flag","x_center","y_center"
"MULTIPOLYGON (((121.27465169270833 30.677396647135417, 121.29103569878473 30.67832980685764, 121.32671413845486 30.675933430989584, 121.34664577907986 30.67559326171875, 121.35433566623264 30.6769921875, 121.36189398871528 30.67952338324653, 121.40699490017361 30.718081868489584, 121.42636067708334 30.730284288194444, 121.47876953125 30.756343587239584, 121.48285346137153 30.758373209635415, 121.51720323350695 30.775391710069446, 121.55283013237847 30.789399956597222, 121.601328125 30.805082465277778, 121.64842366536459 30.816202256944443, 121.6811927625868 30.818403049045138, 121.7270689561632 30.817718912760416, 121.76969516509048 30.817309192702115, 121.77913845486111 30.817218424479165, 121.79376681857639 30.81686306423611, 121.90446451822916 30.814152018229166, 121.91528700086806 30.812894694010417, 121.92460394965278 30.80660590277778, 121.94368191189236 30.77709716796875, 121.88913302951389 30.74192111545139, 121.84799533420139 30.726437445746527, 121.73407687717014 30.709220377604165, 121.61802544487847 30.697094184027776, 121.54583387586806 30.679826388888888, 121.3866921657986 30.646053602430555, 121.32055121527777 30.64029296875, 121.29294406467014 30.649056803385417, 121.27465169270833 30.677396647135417)))","1","0.0","0.0","3.0","2.0","$HAIYU","310100","海域","","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((121.3722119140625 31.553205837673612, 121.40165934244791 31.534388020833333, 121.40334771050347 31.522608778211804, 121.38743353949653 31.519996473524305, 121.38333387586806 31.519257269965276, 121.34349799262152 31.51205593532986, 121.3722119140625 31.553205837673612)))","2","0.0","0.0","4.0","3.0","$HAIYU","320500","海域","","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((116.96070936414931 30.628564181857637, 116.95714816623264 30.62794189453125, 116.95364827473958 30.62806694878472, 116.94565809461805 30.628990071614584, 116.93948052300347 30.630521647135417, 116.93465277777777 30.6321240234375, 116.93149603949652 30.634130588107638, 116.93021782769097 30.636206868489584, 116.92840955946181 30.638819173177083, 116.92619249131944 30.64082763671875, 116.92062961154514 30.64618381076389, 116.92009114583334 30.647924533420138, 116.9199609375 30.650136990017362, 116.92023030598958 30.651544053819446, 116.9221080186632 30.654293619791666, 116.92888075086806 30.658587510850694, 116.93444661458334 30.661340060763887, 116.93713433159722 30.661612684461804, 116.94002251519098 30.66134765625, 116.94318060980903 30.66034722222222, 116.94942003038194 30.657210015190973, 116.95143934461805 30.656141221788193, 116.95331976996528 30.656546495225694, 116.95694146050347 30.658028157552085, 116.96071180555556 30.659176432291666, 116.96326334635417 30.65918212890625, 116.96735677083333 30.657046983506945, 116.97031765407986 30.65102294921875, 116.97192898220486 30.647811686197915, 116.97381049262152 30.645537109375, 116.97623236762153 30.64406928168403, 116.9770423719618 30.64353515625, 116.97623209635417 30.64259521484375, 116.97098741319445 30.64003472222222, 116.96950656467014 30.63882595486111, 116.96870496961806 30.637215169270835, 116.9668234592014 30.633995225694445, 116.96359212239584 30.6305029296875, 116.96070936414931 30.628564181857637)))","18","0.0","0.0","685.0","4400.0","TOL","340700","铜陵市","TONGLINGSHI","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((122.1522336154514 29.9709130859375, 122.15315890842014 29.97110405815972, 122.15397596571181 29.971066623263887, 122.154541015625 29.970909288194445, 122.1552379014757 29.970606825086804, 122.1559228515625 29.97011203342014, 122.15616319444445 29.969605577256946, 122.15612711588541 29.96919623480903, 122.15570638020833 29.968739149305556, 122.1549853515625 29.96823459201389, 122.15449245876736 29.96813910590278, 122.15406005859376 29.968272298177084, 122.1538916015625 29.968549533420138, 122.15379557291666 29.96889892578125, 122.153759765625 29.969176161024304, 122.15354329427083 29.969357096354166, 122.15281005859374 29.969623209635415, 122.1518728298611 29.970034450954863, 122.15164442274306 29.970311957465277, 122.15163248697917 29.970540907118057, 122.15175265842014 29.97075737847222, 122.1522336154514 29.9709130859375)))","100","0.0","0.0","1376.0","6168.0","ZOS","330900","舟山市","ZHOUSHANSHI","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((122.13237711588542 29.983776312934026, 122.13456136067708 29.98471462673611, 122.14111300998263 29.98668185763889, 122.14320258246528 29.987031792534722, 122.14411838107638 29.986936306423612, 122.14493977864583 29.98646484375, 122.14587890625 29.98538113064236, 122.14616075303819 29.98472195095486, 122.14587863498264 29.983828396267363, 122.14479871961805 29.982159830729167, 122.14397705078125 29.980302734375, 122.14355414496528 29.978915201822918, 122.14310791015625 29.97832763671875, 122.14207492404513 29.97811767578125, 122.14113579644098 29.97814263237847, 122.14010281032986 29.978684895833332, 122.13972710503472 29.97910888671875, 122.13942192925347 29.98023871527778, 122.13914008246527 29.980756564670138, 122.13845920138888 29.98108696831597, 122.13780164930556 29.98111111111111, 122.1369091796875 29.98087700737847, 122.13604058159723 29.98080756293403, 122.13498372395833 29.98116183810764, 122.13240044487847 29.982576497395833, 122.13204833984375 29.98304741753472, 122.13207194010417 29.983470865885415, 122.13237711588542 29.983776312934026)))","101","0.0","0.0","1377.0","6169.0","ZOS","330900","舟山市","ZHOUSHANSHI","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((122.14700005425347 29.982183159722222, 122.14777560763889 29.982529296875, 122.14848551432291 29.982379286024305, 122.14874945746527 29.98204833984375, 122.14921142578125 29.98186550564236, 122.14983859592014 29.98148410373264, 122.15036648220486 29.98065646701389, 122.15046549479166 29.980027669270832, 122.15028401692709 29.979531792534722, 122.1498876953125 29.979251573350695, 122.14912868923611 29.979169921875, 122.14810546875 29.979320475260415, 122.14734646267361 29.979669053819446, 122.1468017578125 29.98044704861111, 122.14658745659722 29.98132378472222, 122.14668674045139 29.981803385416665, 122.14700005425347 29.982183159722222)))","102","0.0","0.0","1378.0","6170.0","ZOS","330900","舟山市","ZHOUSHANSHI","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((122.14906304253472 29.984462076822915, 122.14940972222222 29.984610460069444, 122.14978922526042 29.984576822916665, 122.15091118706597 29.98412841796875, 122.15130723741319 29.98381374782986, 122.15211588541666 29.98358072916667, 122.15279242621527 29.983182508680557, 122.15343587239583 29.982271864149304, 122.15369981553819 29.98134548611111, 122.15358425564236 29.980816243489585, 122.15312201605903 29.98043674045139, 122.15251166449653 29.980321994357638, 122.15188449435765 29.980372721354165, 122.15120822482639 29.98067165798611, 122.15079535590277 29.98120144314236, 122.1502015516493 29.9822607421875, 122.14993760850695 29.982691243489583, 122.14955810546876 29.983055555555556, 122.14907958984375 29.98342041015625, 122.14879909939236 29.983917100694445, 122.14883219401041 29.98423095703125, 122.14906304253472 29.984462076822915)))","103","0.0","0.0","1379.0","6171.0","ZOS","330900","舟山市","ZHOUSHANSHI","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((122.14866536458334 29.986527506510416, 122.14916042751736 29.986791449652777, 122.1497216796875 29.9868896484375, 122.15015055338542 29.98678982204861, 122.15069525824653 29.986722547743057, 122.15107476128472 29.986771647135416, 122.15143771701389 29.98672146267361, 122.15165228949652 29.98657253689236, 122.15180067274305 29.986224772135415, 122.15204833984374 29.985992838541666, 122.15246066623264 29.98581027560764, 122.15313720703125 29.985577528211806, 122.15338460286458 29.985279405381945, 122.15341769748264 29.98494873046875, 122.15333523220487 29.98466769748264, 122.15302164713542 29.984453125, 122.15257622612847 29.98427218967014, 122.15213053385416 29.984256456163195, 122.15166856553819 29.984422200520832, 122.15123969184027 29.984704318576387, 122.15087646484375 29.985101725260417, 122.15038167317708 29.985267740885416, 122.14996880425348 29.985285101996528, 122.1495068359375 29.985302191840276, 122.14897894965277 29.985369466145833, 122.14850043402778 29.985171712239584, 122.14810438368056 29.985172526041666, 122.14784016927084 29.985420735677085, 122.14779052734374 29.985784776475693, 122.14800537109375 29.986131727430557, 122.14866536458334 29.986527506510416)))","104","0.0","0.0","1380.0","6172.0","ZOS","330900","舟山市","ZHOUSHANSHI","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((122.17829996744791 29.982494303385415, 122.17597330729167 29.985277235243057, 122.17597330729167 29.985894639756946, 122.17624728732639 29.986202799479166, 122.1767605251736 29.986270616319445, 122.17857421875 29.98551242404514, 122.18059299045139 29.984307996961807, 122.18315945095486 29.982416449652778, 122.1881214735243 29.978187934027776, 122.19034586588542 29.975645345052083, 122.19051676432292 29.97478732638889, 122.19034559461805 29.97413601345486, 122.18976372612848 29.9737939453125, 122.18894232855902 29.973761121961804, 122.18777886284722 29.97427761501736, 122.18606770833334 29.975515950520833, 122.18384331597223 29.97768120659722, 122.17829996744791 29.982494303385415)))","105","0.0","0.0","1381.0","6173.0","ZOS","330900","舟山市","ZHOUSHANSHI","0.0","0.0","0.0","0","0.0","0.0"
"MULTIPOLYGON (((122.10235107421875 30.001725802951388, 122.10390543619792 30.001930609809026, 122.10572564019097 30.0014599609375, 122.10740261501736 30.000661349826387, 122.10789333767362 29.999822591145833, 122.1082408311632 29.998144802517363, 122.10862928602431 29.99609836154514, 122.10866997612847 29.99429768880208, 122.10828152126736 29.993765733506944, 122.10699300130209 29.993581814236112, 122.10519341362847 29.993745930989583, 122.1034752061632 29.99421657986111, 122.1028209092882 29.994789496527776, 122.10149169921876 29.9967333984375, 122.10075493706597 29.997572428385418, 122.10040744357639 29.998472493489583, 122.09997802734375 29.999229600694445, 122.10003933376736 29.99980251736111, 122.10046902126736 30.000457356770834, 122.10141004774306 30.00129611545139, 122.10235107421875 30.001725802951388)))","106","0.0","0.0","1382.0","6175.0","ZOS","330900","舟山市","ZHOUSHANSHI","0.0","0.0","0.0","0","0.0","0.0"
